eo,Esperanto
fr,Français
en,English
af,Afrikaans
am,አማርኛ
ar,العربية
az,Azərbaycan dili
be,Беларуская
bg,български език
bn,বাংলা
bs,Bosanski jezik
ca,Català
co,Corsu ; lingua corsa
cs,Česky ; čeština
cy,Cymraeg
da,Dansk
de,Deutsch
el,Ελληνικά
es,Español; castellano
et,Eesti keel
eu,Euskara
fa,فارسی
fi,Suomen kieli
frp,Arpetan
fy,Frysk
ga,Gaeilge
gd,Gàidhlig
gl,Galego
ha,هَوُسَ
he,עברית
hi,हिन्दी ; हिंदी
hr,Hrvatski
ht,Kreyòl ayisyen
hu,magyar
hy,Հայերեն
id,Bahasa Indonesia
ig,Igbo
is,Íslenska
it,Italiano
ja,日本語 (にほんご)
ka,ქართული
kk,Қазақ тілі
km,ភាសាខ្មែរ
kn,ಕನ್ನಡ
ko,한국어 (韓國語) ; 조선말 (朝鮮語)
ku,Kurdî ; كوردی
ky,кыргыз тили
la,Latine ; lingua latina
lb,Lëtzebuergesch
lo,ພາສາລາວ
lt,Lietuvių kalba
lv,Latviešu valoda
mg,Fiteny malagasy
mi,Te reo Māori
mk,македонски јазик
ml,മലയാളം
mn,Монгол
mr,मराठी
ms,Bahasa Melayu ; بهاس ملايو
mt,Malti
my,ဗမာစာ
nb,Norsk bokmål
ne,नेपाली
nl,Nederlands
nn,Norsk nynorsk
no,Norsk
ny,ChiCheŵa ; chinyanja
oc,Occitan
or,ଓଡ଼ିଆ
pa,ਪੰਜਾਬੀ ; پنجابی
pl,Polski
ps,پښتو
pt,Português
ro,Română
ru,русский язык
rw,Kinyarwanda
sd,सिन्धी ; سنڌي، سندھی
si,සිංහල
sk,Slovenčina
sl,Slovenščina
sm,Gagana fa'a Samoa
sn,chiShona
so,Soomaaliga ; af Soomaali
sq,Shqip
sr,српски језик
st,seSotho
su,Basa Sunda
sv,Svenska
sw,Kiswahili
ta,தமிழ்
te,తెలుగు
tg,тоҷикӣ ; toğikī ; تاجیکی
th,ไทย
tk,Türkmen ; Түркмен
tl,Tagalog
tr,Türkçe
tt,татарча ; tatarça ; تاتارچا
ug,Uyƣurqə ; ئۇيغۇرچ
uk,українська мова
ur,اردو
uz,O'zbek ; Ўзбек ; أۇزبېك
vi,Tiếng Việt
xh,isiXhosa
yi,ייִדיש
yo,Yorùbá
zh,"中文, 汉语, 漢語"
zu,isiZulu
