eo,Esperanto
fr,Français
en,English
aa,Afaraf
ab,Аҧсуа
ae,Avesta
af,Afrikaans
ak,Akan
am,አማርኛ
an,Aragonés
ar,العربية
as,অসমীয়া
av,авар мацӀ ; магӀарул мацӀ
ay,Aymar aru
az,Azərbaycan dili
ba,башҡорт теле
be,Беларуская
bg,български език
bh,भोजपुरी
bi,Bislama
bm,Bamanankan
bn,বাংলা
bo,བོད་ཡིག
br,Brezhoneg
bs,Bosanski jezik
ca,Català
ce,нохчийн мотт
ch,Chamoru
co,Corsu ; lingua corsa
cr,ᓀᐦᐃᔭᐍᐏᐣ
cs,Česky ; čeština
cu,Словѣньскъ
cv,чӑваш чӗлхи
cy,Cymraeg
da,Dansk
de,Deutsch
dv,ދިވެހި
dz,རྫོང་ཁ
ee,Ɛʋɛgbɛ
el,Ελληνικά
es,Español; castellano
et,Eesti keel
eu,Euskara
fa,فارسی
ff,Fulfulde
fi,Suomen kieli
fj,Vosa Vakaviti
fo,Føroyskt
fy,Frysk
ga,Gaeilge
gd,Gàidhlig
gl,Galego
gn,Avañe'ẽ
gu,ગુજરાતી
gv,Ghaelg
ha,هَوُسَ
he,עברית
hi,हिन्दी ; हिंदी
ho,Hiri Motu
hr,Hrvatski
ht,Kreyòl ayisyen
hu,magyar
hy,Հայերեն
hz,Otjiherero
ia,Interlingua
id,Bahasa Indonesia
ie,Interlingue
ig,Igbo
ii,ꆇꉙ
ik,Iñupiaq ; Iñupiatun
io,Ido
is,Íslenska
it,Italiano
iu,ᐃᓄᒃᑎᑐᑦ
ja,日本語 (にほんご)
jv,Basa Jawa
ka,ქართული
kg,KiKongo
ki,Gĩkũyũ
kj,Kuanyama
kk,Қазақ тілі
kl,Kalaallisut ; kalaallit oqaasii
km,ភាសាខ្មែរ
kn,ಕನ್ನಡ
ko,한국어 (韓國語) ; 조선말 (朝鮮語)
kr,Kanuri
ks,कश्मीरी ; كشميري
ku,Kurdî ; كوردی
kv,коми кыв
kw,Kernewek
ky,кыргыз тили
la,Latine ; lingua latina
lb,Lëtzebuergesch
lg,Luganda
li,Limburgs
ln,Lingála
lo,ພາສາລາວ
lt,Lietuvių kalba
lu,tshiluba
lv,Latviešu valoda
mg,Fiteny malagasy
mh,Kajin M̧ajeļ
mi,Te reo Māori
mk,македонски јазик
ml,മലയാളം
mn,Монгол
mo,лимба молдовеняскэ
mr,मराठी
ms,Bahasa Melayu ; بهاس ملايو
mt,Malti
my,ဗမာစာ
na,Ekakairũ Naoero
nb,Norsk bokmål
nd,isiNdebele
ne,नेपाली
ng,Owambo
nl,Nederlands
nn,Norsk nynorsk
no,Norsk
nr,Ndébélé
nv,Diné bizaad ; Dinékʼehǰí
ny,ChiCheŵa ; chinyanja
oc,Occitan
oj,ᐊᓂᔑᓈᐯᒧᐎᓐ
om,Afaan Oromoo
or,ଓଡ଼ିଆ
os,Ирон ӕвзаг
pa,ਪੰਜਾਬੀ ; پنجابی
pi,पािऴ
pl,Polski
ps,پښتو
pt,Português
qu,Runa Simi ; Kichwa
rc,Kréol Rénioné
rm,Rumantsch grischun
rn,kiRundi
ro,Română
ru,русский язык
rw,Kinyarwanda
sa,संस्कृतम्
sc,sardu
sd,सिन्धी ; سنڌي، سندھی
se,Davvisámegiella
sg,Yângâ tî sängö
sh,srpskohrvatski jezik ; српскохрватски језик
si,සිංහල
sk,Slovenčina
sl,Slovenščina
sm,Gagana fa'a Samoa
sn,chiShona
so,Soomaaliga ; af Soomaali
sq,Shqip
sr,српски језик
ss,SiSwati
st,seSotho
su,Basa Sunda
sv,Svenska
sw,Kiswahili
ta,தமிழ்
te,తెలుగు
tg,тоҷикӣ ; toğikī ; تاجیکی
th,ไทย
ti,ትግርኛ
tk,Türkmen ; Түркмен
tl,Tagalog
tn,seTswana
to,faka Tonga
tr,Türkçe
ts,xiTsonga
tt,татарча ; tatarça ; تاتارچا
tw,Twi
ty,Reo Mā`ohi
ug,Uyƣurqə ; ئۇيغۇرچ
uk,українська мова
ur,اردو
uz,O'zbek ; Ўзбек ; أۇزبېك
ve,tshiVenḓa
vi,Tiếng Việt
vo,Volapük
wa,Walon
wo,Wollof
xh,isiXhosa
yi,ייִדיש
yo,Yorùbá
za,Saɯ cueŋƅ ; Saw cuengh
zh,"中文, 汉语, 漢語"
zu,isiZulu
