comment %    cl-pu-po-pr-sh  name of the file
100% (5/5)   1  4  0  0  0   formiko/interfaces/DeplacementNull.java
100% (4/4)   1  1  2  0  0   formiko/interfaces/PondreReine.java
100% (6/6)   1  2  0  3  0   formiko/interfaces/ChasseFourmi.java
100% (5/5)   1  4  0  0  0   formiko/interfaces/TrophallaxieNull.java
100% (1/1)   1  0  0  0  0   formiko/interfaces/Pondre.java
100% (2/2)   1  1  0  0  0   formiko/interfaces/PondreNull.java
100% (9/9)   1  4  0  4  0   formiko/interfaces/NetoyerFourmi.java
100% (1/1)   1  0  0  0  0   formiko/interfaces/Collecte.java
100% (1/1)   1  0  0  0  0   formiko/interfaces/Deplacement.java
100% (11/11) 1  4  0  6  0   formiko/interfaces/DeplacementFourmi.java
100% (2/2)   1  1  0  0  0   formiko/interfaces/EvoluerNull.java
100% (4/4)   1  2  0  1  0   formiko/interfaces/MourirFourmi.java
100% (1/1)   1  0  0  0  0   formiko/interfaces/Netoyer.java
100% (1/1)   1  0  0  0  0   formiko/interfaces/Trophallaxie.java
100% (3/3)   1  2  0  0  0   formiko/interfaces/CollecteNull.java
100% (2/2)   1  1  0  0  0   formiko/interfaces/EvoluerFourmi.java
100% (1/1)   1  0  0  0  0   formiko/interfaces/Mourir.java
100% (6/6)   1  4  0  1  0   formiko/interfaces/NetoyerNull.java
100% (1/1)   1  0  0  0  0   formiko/interfaces/Chasse.java
100% (3/3)   1  2  0  0  0   formiko/interfaces/ChasseNull.java
100% (4/4)   1  3  0  0  0   formiko/interfaces/MourirInsecte.java
100% (3/3)   1  2  0  0  0   formiko/interfaces/CollecteFourmi.java
100% (5/5)   1  4  0  0  0   formiko/interfaces/TrophallaxieFourmi.java
100% (1/1)   1  0  0  0  0   formiko/interfaces/Evoluer.java
100% (3/3)   1  2  0  0  0   formiko/interfaces/MourirNull.java
100% (7/7)   1  6  0  0  9   formiko/Insecte.java
100% (4/4)   1  2  0  1  0   formiko/arbo.java
0%   (0/13)  1  12 0  0  4   formiko/CInsecte.java
20%  (1/5)   1  4  0  0  3   formiko/IEspece.java
0%   (0/16)  1  15 0  0  18  formiko/Joueur.java
100% (10/10) 1  9  0  0  65  formiko/Creature.java
6%   (1/15)  1  14 0  0  33  formiko/Partie.java
0%   (0/17)  1  16 0  0  6   formiko/GCase.java
0%   (0/9)   1  8  0  0  10  formiko/Graine.java
0%   (0/13)  1  12 0  0  0   formiko/triche.java
0%   (0/6)   1  5  0  0  4   formiko/CIndividu.java
0%   (0/3)   1  1  0  1  66  formiko/Options.java
0%   (0/8)   1  7  0  0  4   formiko/GIndividu.java
0%   (0/4)   1  3  0  0  3   formiko/ObjetSurCarteAId.java
0%   (0/25)  1  24 0  0  5   formiko/GJoueur.java
0%   (0/3)   1  2  0  0  4   formiko/ObjetAId.java
0%   (0/4)   1  3  0  0  4   formiko/CEspece.java
100% (2/2)   1  1  0  0  2   formiko/Touches.java
0%   (0/17)  1  16 0  0  10  formiko/Pheromone.java
0%   (0/13)  1  12 0  0  7   formiko/GGraine.java
0%   (0/12)  1  11 0  0  25  formiko/Case.java
0%   (0/21)  1  20 0  0  3   formiko/GInsecte.java
0%   (0/11)  1  10 0  0  4   formiko/CGraine.java
0%   (0/1)   1  0  0  0  0   formiko/Personalite.java
0%   (0/28)  1  27 0  0  13  formiko/CCase.java
100% (21/21) 1  20 0  0  111 formiko/Main.java
0%   (0/49)  2  43 0  4  9   formiko/GCreature.java
0%   (0/31)  2  29 0  0  7   formiko/CCreature.java
0%   (0/13)  1  12 0  0  27  formiko/Fourmiliere.java
0%   (0/2)   1  1  0  0  0   formiko/lireUneSauvegarde.java
