GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Formiko,fr.formiko.usuel.tests,TestCaseMuet,0,20,0,0,0,8,0,3,0,3
Formiko,fr.formiko.formiko,CEspece,6,47,1,5,2,11,2,8,1,6
Formiko,fr.formiko.formiko,Personalite,3,0,0,0,1,0,1,0,1,0
Formiko,fr.formiko.formiko,Main,1127,234,114,6,341,92,158,42,94,42
Formiko,fr.formiko.formiko,ObjetAId,7,35,1,5,3,9,4,6,3,4
Formiko,fr.formiko.formiko,CJoueur,370,51,57,5,99,15,48,8,18,7
Formiko,fr.formiko.formiko,lireUneSauvegarde,7,0,0,0,3,0,2,0,2,0
Formiko,fr.formiko.formiko,Joueur,179,337,12,14,40,49,22,26,15,20
Formiko,fr.formiko.formiko,ThScript,17,0,0,0,6,0,3,0,3,0
Formiko,fr.formiko.formiko,Fourmiliere,135,229,13,25,26,54,26,29,17,19
Formiko,fr.formiko.formiko,GGraine,115,142,22,18,25,37,23,17,8,12
Formiko,fr.formiko.formiko,Creature,115,687,14,44,20,118,25,89,15,70
Formiko,fr.formiko.formiko,Pheromone,262,128,19,11,40,23,31,14,20,10
Formiko,fr.formiko.formiko,triche,1076,31,160,5,246,7,113,1,12,1
Formiko,fr.formiko.formiko,Graine,83,112,10,12,18,25,16,13,9,9
Formiko,fr.formiko.formiko,Fourmi,206,484,18,38,35,87,34,51,21,36
Formiko,fr.formiko.formiko,Espece,75,384,14,22,12,64,20,21,11,12
Formiko,fr.formiko.formiko,ObjetSurCarteAId,9,48,1,3,2,14,3,8,2,7
Formiko,fr.formiko.formiko,CCreature,306,385,54,52,93,114,47,45,18,21
Formiko,fr.formiko.formiko,Script,10,112,4,12,3,29,5,11,1,7
Formiko,fr.formiko.formiko,GJoueur,303,78,56,8,78,20,51,10,21,8
Formiko,fr.formiko.formiko,Message,132,160,21,11,33,45,22,8,8,6
Formiko,fr.formiko.formiko,GEspece,31,386,3,7,10,37,7,8,4,6
Formiko,fr.formiko.formiko,CCase,183,466,29,55,43,127,27,49,7,27
Formiko,fr.formiko.formiko,GCreature,415,402,61,53,106,99,70,48,31,30
Formiko,fr.formiko.formiko,Individu,18,356,3,15,3,52,3,24,1,17
Formiko,fr.formiko.formiko,Carte,44,124,1,1,14,26,9,10,8,10
Formiko,fr.formiko.formiko,GInsecte,353,83,49,9,78,27,43,10,14,10
Formiko,fr.formiko.formiko,GIEspece,66,130,8,6,15,32,10,9,5,7
Formiko,fr.formiko.formiko,Partie,571,416,56,8,144,77,62,28,32,26
Formiko,fr.formiko.formiko,Point,27,101,2,12,6,25,6,12,4,7
Formiko,fr.formiko.formiko,Insecte,54,142,5,5,8,31,11,12,7,11
Formiko,fr.formiko.formiko,IEspece,19,32,2,2,4,9,5,4,3,4
Formiko,fr.formiko.formiko,CIEspece,59,50,9,5,14,10,11,6,6,4
Formiko,fr.formiko.formiko,CIndividu,45,47,7,5,10,12,7,8,3,6
Formiko,fr.formiko.formiko,CInsecte,190,19,30,0,52,7,27,5,12,5
Formiko,fr.formiko.formiko,KeyThread,14,0,2,0,7,0,3,0,2,0
Formiko,fr.formiko.formiko,Case,69,331,19,29,14,65,22,38,6,30
Formiko,fr.formiko.formiko,CGraine,187,71,36,10,46,18,27,11,8,7
Formiko,fr.formiko.formiko,GCase,187,210,16,22,29,53,17,23,5,16
Formiko,fr.formiko.formiko,GIndividu,34,267,6,8,8,32,8,10,4,7
Formiko,fr.formiko.usuel.listes,List,77,190,20,30,21,47,16,26,4,13
Formiko,fr.formiko.usuel.listes,CMessage,99,14,16,0,31,3,18,3,10,3
Formiko,fr.formiko.usuel.listes,GMessage,78,30,12,2,18,9,13,3,7,2
Formiko,fr.formiko.usuel.listes,CCInt,54,31,7,1,13,8,11,5,7,5
Formiko,fr.formiko.usuel.listes,GString,345,230,57,41,73,38,44,21,11,5
Formiko,fr.formiko.usuel.listes,CInt,123,31,8,4,21,8,13,6,9,4
Formiko,fr.formiko.usuel.listes,ListIterator,0,25,0,2,0,7,0,4,0,3
Formiko,fr.formiko.usuel.listes,Node,33,55,9,9,8,14,9,7,2,5
Formiko,fr.formiko.usuel.listes,GGInt,40,42,7,5,10,12,9,5,5,3
Formiko,fr.formiko.usuel.listes,GInt,135,44,20,6,31,12,18,6,8,3
Formiko,fr.formiko.usuel.maths,allea,162,106,20,12,32,18,18,15,7,10
Formiko,fr.formiko.usuel.maths,math,141,317,25,51,35,65,21,44,5,14
